feature,dataset,dataset_variant,algorithm
V2221,Breast2classes,raw,seededsfsselector
V2529,Breast2classes,raw,seededsfsselector
V4213,Breast2classes,raw,seededsfsselector
V2733,Breast2classes,raw,seededsfsselector
V583,Breast2classes,raw,seededsfsselector
V220,Breast2classes,raw,seededsfsselector
V2535,Breast2classes,raw,seededsfsselector
V3414,Breast2classes,raw,seededsfsselector
V1072,Breast2classes,raw,seededsfsselector
V4482,Breast2classes,raw,seededsfsselector
V4280,Breast2classes,raw,seededsfsselector
V2188,Breast2classes,raw,seededsfsselector
